Symbol,Date,Close,High,Low,Open,Volume
IBM,2017-08-17,140.7,142.89,140.7,142.52,4421762
IBM,2017-08-18,139.7,141.15,139.58,140.87,4152548
IBM,2017-08-21,140.33,140.42,139.13,139.59,3190691
IBM,2017-08-22,141.01,141.15,140.38,140.64,2544346
IBM,2017-08-23,142.14,143.05,140.68,140.7,4048016
IBM,2017-08-24,142.94,143.68,142.25,142.5,3591673
IBM,2017-08-25,143.74,144.19,143.25,143.3,2872893
IBM,2017-08-28,142.51,144.56,142.39,144.11,5133981
IBM,2017-08-29,143.14,143.425,141.9,142.1,3008020
IBM,2017-08-30,142.56,143.28,142.41,143.26,2735966
IBM,2017-08-31,143.03,143.66,142.63,143.02,3656428
IBM,2017-09-01,144.08,144.5,142.98,142.98,3351705
IBM,2017-09-04,144.08,144.08,144.08,144.08,0
IBM,2017-09-05,143.04,144.3575,142.7,143.5,3098700
IBM,2017-09-06,143.82,144.47,143.5,143.88,3271344
IBM,2017-09-07,142.9,144.64,142.41,144.1,4188154
IBM,2017-09-08,142.45,143.15,141.64,143.15,3366144
IBM,2017-09-11,144.86,145.13,143.01,143.54,4613381
IBM,2017-09-12,145.76,146.37,144.51,145.11,5237848
IBM,2017-09-13,145.99,146.29,145.34,145.35,4100980
IBM,2017-09-14,145.54,146.38,145.51,145.86,3756699
IBM,2017-09-15,144.82,145.17,144.08,144.82,7397233
IBM,2017-09-18,144.55,145.4799,144.27,144.81,3019514
IBM,2017-09-19,144.39,144.98,144.22,144.79,3464383
IBM,2017-09-20,145.88,145.88,144.42,144.93,5447519
IBM,2017-09-21,145.26,145.8911,145.1,145.65,2554596
IBM,2017-09-22,145.13,145.59,144.59,145.59,2792200
IBM,2017-09-25,145.87,146.03,144.91,145.12,5213144
IBM,2017-09-26,146.56,147.42,145.94,146.36,4487620
IBM,2017-09-27,145.66,146.9,145.03,146.68,3501906
IBM,2017-09-28,145.66,145.86,144.21,145.33,2774775
IBM,2017-09-29,145.08,145.69,144.92,145.45,2654321
IBM,2017-10-02,146.66,146.865,145.21,145.35,2973073
IBM,2017-10-03,146.78,147.1999,146.34,146.69,2302699
IBM,2017-10-04,146.48,147.02,146.11,147.0,2244033
IBM,2017-10-05,146.72,147.54,146.48,146.68,2686539
IBM,2017-10-06,146.48,146.85,146.32,146.64,2623174
IBM,2017-10-09,147.39,147.79,146.35,146.5,2682556
IBM,2017-10-10,148.5,148.95,147.65,147.71,4032600
IBM,2017-10-11,147.62,148.47,147.28,148.4,3702238
IBM,2017-10-12,147.03,147.89,146.77,147.56,3264344
IBM,2017-10-13,147.1,147.85,146.94,147.48,2506584
IBM,2017-10-16,146.83,147.67,146.51,147.22,3052091
IBM,2017-10-17,146.54,147.12,146.18,146.63,6372393
IBM,2017-10-18,159.53,161.23,156.95,157.12,30490192
IBM,2017-10-19,160.9,160.96,159.085,159.8,9914169
IBM,2017-10-20,162.07,162.48,159.77,161.07,7868803
IBM,2017-10-23,159.55,162.51,159.54,162.05,5779378
IBM,2017-10-24,155.88,159.7,155.171,159.65,8194690
IBM,2017-10-25,153.5,156.37,153.06,156.01,6921137
IBM,2017-10-26,153.6,155.12,153.54,154.31,4300543
IBM,2017-10-27,153.68,154.63,152.911,154.54,4895186
IBM,2017-10-30,154.36,154.59,152.71,153.76,4210402
IBM,2017-10-31,154.06,154.93,152.93,154.33,4328258
IBM,2017-11-01,154.03,154.9,153.83,154.1,3240246
IBM,2017-11-02,153.35,154.49,152.91,154.18,3397628
IBM,2017-11-03,151.58,153.47,151.49,153.42,4431825
IBM,2017-11-06,150.84,151.82,150.28,151.77,4498871
IBM,2017-11-07,151.35,151.51,150.5,151.37,3701052
IBM,2017-11-08,151.57,151.7944,150.28,151.6,4634439
IBM,2017-11-09,150.3,151.8,149.86,149.93,4776532
IBM,2017-11-10,149.16,150.89,149.14,150.65,4307276
IBM,2017-11-13,148.4,149.0,147.92,148.88,5107546
IBM,2017-11-14,148.89,148.97,147.49,147.95,3757951
IBM,2017-11-15,147.1,148.705,146.211,148.0,4773328
IBM,2017-11-16,149.12,149.65,147.5,147.73,5446453
IBM,2017-11-17,148.97,150.15,148.83,149.34,4916500
IBM,2017-11-20,150.51,151.95,149.9,150.64,5676495
IBM,2017-11-21,151.95,152.45,151.2,151.3,3756184
IBM,2017-11-22,151.77,152.39,151.33,152.0,3213596
IBM,2017-11-23,151.77,151.77,151.77,151.77,0
IBM,2017-11-24,151.84,152.2,151.33,151.95,1193025
IBM,2017-11-27,151.98,152.49,151.62,152.06,3374042
IBM,2017-11-28,152.47,152.93,151.7,152.35,3973670
IBM,2017-11-29,153.55,153.61,152.17,152.81,5098702
IBM,2017-11-30,153.97,154.41,153.08,153.65,6500769
IBM,2017-12-01,154.76,155.02,152.9125,154.4,5567852
IBM,2017-12-04,156.46,156.8,155.07,155.67,4664316
IBM,2017-12-05,155.35,156.74,154.68,156.45,5068043
IBM,2017-12-06,154.1,156.22,154.09,155.69,3410728
IBM,2017-12-07,153.57,154.45,153.26,154.03,3771429
IBM,2017-12-08,154.81,155.03,153.55,153.94,3520281
IBM,2017-12-11,155.41,155.89,154.57,154.97,4102718
IBM,2017-12-12,156.74,157.85,155.16,155.2,6321801
IBM,2017-12-13,153.91,156.73,153.89,156.6,5661618
IBM,2017-12-14,154.0,155.11,153.7,154.6,4637440
IBM,2017-12-15,152.5,153.8,152.03,153.61,11279854
IBM,2017-12-18,153.33,154.18,153.21,153.59,5092838
IBM,2017-12-19,153.23,154.17,153.09,154.05,4116449
IBM,2017-12-20,152.95,153.89,152.78,153.65,3785667
IBM,2017-12-21,151.5,153.46,151.49,153.17,4153934
IBM,2017-12-22,152.5,153.0,151.5,151.82,2990583
IBM,2017-12-25,152.5,152.5,152.5,152.5,0
IBM,2017-12-26,152.83,153.86,152.5,152.51,2479017
IBM,2017-12-27,153.13,153.18,152.61,152.95,2149257
IBM,2017-12-28,154.04,154.12,153.2,153.2,2687624
IBM,2017-12-29,153.42,154.72,153.415,154.17,3327087
IBM,2018-01-01,153.42,153.42,153.42,153.42,0
IBM,2018-01-02,154.25,154.81,153.54,154.5,4202503
IBM,2018-01-03,158.49,159.81,156.33,157.34,9441567
IBM,2018-01-04,161.7,162.3237,159.37,159.65,7556249
IBM,2018-01-05,162.49,162.9,161.101,162.44,5195764
IBM,2018-01-08,163.47,163.905,161.701,162.66,5237523
IBM,2018-01-09,163.83,164.53,163.06,163.9,4341810
IBM,2018-01-10,164.18,164.33,162.5,162.91,4174105
IBM,2018-01-11,164.2,164.94,163.3,164.8,3794453
IBM,2018-01-12,163.14,164.74,163.03,164.02,5031886
IBM,2018-01-15,163.14,163.14,163.14,163.14,0
IBM,2018-01-16,163.85,165.29,163.35,165.1,7794195
IBM,2018-01-17,168.65,169.1253,167.26,168.01,11710033
IBM,2018-01-18,169.12,171.13,168.15,170.0,14259345
IBM,2018-01-19,162.37,165.4,161.3,164.46,21172488
IBM,2018-01-22,162.6,163.98,161.11,161.51,8480795
IBM,2018-01-23,166.25,166.26,162.51,162.82,7466232
IBM,2018-01-24,165.37,168.72,164.82,166.75,5645003
IBM,2018-01-25,165.47,166.78,165.19,165.91,3302520
IBM,2018-01-26,167.34,167.4142,165.79,166.12,3787913
IBM,2018-01-29,166.8,168.39,166.01,167.45,3516995
IBM,2018-01-30,163.62,166.77,163.155,166.21,4902341
IBM,2018-01-31,163.7,164.99,162.761,163.75,4072829
IBM,2018-02-01,162.4,164.13,161.9,163.19,4434242
IBM,2018-02-02,159.03,162.0,158.8663,161.7,5251938
IBM,2018-02-05,152.53,158.5,150.0,157.89,8746599
IBM,2018-02-06,155.34,155.49,149.11,150.29,9867678
IBM,2018-02-07,153.85,155.34,153.28,154.17,6149207
IBM,2018-02-08,147.59,153.16,147.5,152.48,6779095
IBM,2018-02-09,149.51,150.54,144.3955,148.6,7828290
IBM,2018-02-12,151.4,152.4,150.3,150.9,5881377
IBM,2018-02-13,150.75,151.179,149.64,150.9,4891010
IBM,2018-02-14,154.76,155.0,150.0,150.19,5479033
IBM,2018-02-15,156.01,156.86,153.7,155.5,5623581
IBM,2018-02-16,156.18,157.7905,155.69,155.71,4282908
IBM,2018-02-19,156.18,156.18,156.18,156.18,0
IBM,2018-02-20,155.16,155.96,153.87,155.79,4489604
IBM,2018-02-21,153.96,156.79,153.9,155.43,3728571
IBM,2018-02-22,153.18,155.04,152.79,154.5,4024626
IBM,2018-02-23,155.52,155.855,154.07,154.3,3256074
IBM,2018-02-26,158.58,158.88,155.51,155.81,3610292
IBM,2018-02-27,156.55,159.78,156.53,158.46,4237283
IBM,2018-02-28,155.83,158.1399,155.8,157.5,3803512
